persona_id,question_id,average_score,standard_deviation
0,1,3.5,0.5270462766947299
0,2,4.0,0.0
0,3,3.0,0.0
0,4,2.9,0.31622776601683794
0,5,1.8,1.5491933384829668
0,6,3.5,0.5270462766947299
0,7,4.0,0.0
0,8,3.2,0.4216370213557839
0,9,2.7,0.48304589153964794
0,10,3.1,0.31622776601683794
0,11,4.0,0.0
0,12,4.1,0.31622776601683794
0,13,3.3,0.48304589153964794
0,14,4.0,0.0
0,15,0.0,0.0
0,16,4.6,0.5163977794943222
0,17,5.0,0.0
0,18,4.0,0.0
0,19,4.0,0.0
0,20,3.8,0.4216370213557839
0,21,5.0,0.0
0,22,5.0,0.0
0,23,3.6,0.8432740427115678
0,24,4.3,1.6363916944844772
0,25,2.1,1.4491376746189437
0,26,4.2,1.0327955589886446
0,27,3.4,0.5163977794943223
0,28,3.9,0.5676462121975467
0,29,4.6,0.5163977794943222
0,30,3.0,0.0
1,1,5.0,0.0
1,2,4.6,0.5163977794943222
1,3,3.2,0.4216370213557839
1,4,3.0,0.0
1,5,3.4,0.5163977794943223
1,6,5.0,0.0
1,7,5.0,0.0
1,8,4.4,0.5163977794943222
1,9,3.0,0.0
1,10,3.6,0.6992058987801011
1,11,5.0,0.0
1,12,5.0,0.0
1,13,4.0,0.0
1,14,4.4,0.5163977794943222
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,4.4,0.5163977794943222
1,20,4.0,1.0540925533894598
1,21,5.0,0.0
1,22,5.0,0.0
1,23,4.0,1.0540925533894598
1,24,4.1,0.9944289260117533
1,25,3.0,0.0
1,26,2.5,0.5270462766947299
1,27,4.0,1.0540925533894598
1,28,4.0,0.816496580927726
1,29,3.9,0.9944289260117533
1,30,4.8,0.6324555320336759
2,1,4.0,0.0
2,2,4.6,0.5163977794943222
2,3,3.3,0.48304589153964794
2,4,2.9,0.31622776601683794
2,5,3.0,0.0
2,6,4.7,0.48304589153964794
2,7,4.5,0.5270462766947299
2,8,3.7,0.48304589153964794
2,9,2.9,0.31622776601683794
2,10,3.3,0.48304589153964794
2,11,4.9,0.31622776601683794
2,12,5.0,0.0
2,13,3.8,0.4216370213557839
2,14,3.4,0.5163977794943223
2,15,2.3,1.2516655570345725
2,16,5.0,0.0
2,17,5.0,0.0
2,18,5.0,0.0
2,19,4.8,0.4216370213557839
2,20,4.2,1.0327955589886446
2,21,5.0,0.0
2,22,5.0,0.0
2,23,4.5,0.5270462766947299
2,24,3.8,1.0327955589886446
2,25,2.7,0.9486832980505138
2,26,5.0,0.0
2,27,4.3,0.8232726023485646
2,28,3.3,0.48304589153964794
2,29,5.0,0.0
2,30,4.6,0.8432740427115678
3,1,4.2,0.4216370213557839
3,2,5.0,0.0
3,3,3.0,0.0
3,4,2.6,0.5163977794943223
3,5,3.6,0.5163977794943223
3,6,5.0,0.0
3,7,4.4,0.5163977794943222
3,8,4.0,0.0
3,9,3.5,0.7071067811865476
3,10,3.0,1.1547005383792515
3,11,5.0,0.0
3,12,4.9,0.31622776601683794
3,13,4.0,0.0
3,14,3.9,0.31622776601683794
3,15,3.4,0.6992058987801011
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,4.6,0.5163977794943222
3,20,4.4,1.0749676997731399
3,21,5.0,0.0
3,22,4.9,0.31622776601683794
