persona_id,question_id,average_score,standard_deviation
0,1,3.0,0.4714045207910317
0,2,4.5,0.5270462766947299
0,3,0.0,0.0
0,4,1.7,1.2516655570345725
0,5,0.0,0.0
0,6,3.2,1.3165611772087666
0,7,4.4,0.5163977794943222
0,8,3.7,0.48304589153964794
0,9,1.0,1.0540925533894598
0,10,0.0,0.0
0,11,3.0,0.0
0,12,3.8,0.4216370213557839
0,13,2.6,1.7126976771553506
0,14,4.0,0.4714045207910317
0,15,0.0,0.0
0,16,3.3,0.48304589153964794
0,17,5.0,0.0
0,18,4.8,0.6324555320336759
0,19,5.0,0.0
0,20,2.7,0.9486832980505138
0,21,5.0,0.0
0,22,4.2,1.0327955589886446
0,23,4.1,0.9944289260117533
0,24,1.6,2.1705094128132942
0,25,0.0,0.0
0,26,5.0,0.0
0,27,3.0,1.8257418583505538
0,28,3.9,0.8755950357709131
0,29,4.8,0.6324555320336759
0,30,3.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,4.7,0.48304589153964794
1,4,4.7,0.48304589153964794
1,5,0.0,0.0
1,6,5.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,2.0,2.211083193570267
1,10,0.0,0.0
1,11,5.0,0.0
1,12,5.0,0.0
1,13,4.9,0.31622776601683794
1,14,4.5,0.5270462766947299
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,5.0,0.0
1,20,3.5,2.41522945769824
1,21,5.0,0.0
1,22,5.0,0.0
1,23,5.0,0.0
1,24,5.0,0.0
1,25,0.0,0.0
1,26,0.9,1.4491376746189437
1,27,5.0,0.0
1,28,5.0,0.0
1,29,5.0,0.0
1,30,5.0,0.0
2,1,3.9,0.7378647873726218
2,2,4.5,0.5270462766947299
2,3,3.0,0.4714045207910317
2,4,3.1,0.31622776601683794
2,5,3.4,0.6992058987801011
2,6,3.8,0.4216370213557839
2,7,4.3,0.48304589153964794
2,8,3.7,0.8232726023485646
2,9,3.1,0.31622776601683794
2,10,0.7,1.4944341180973262
2,11,4.8,0.4216370213557839
2,12,4.3,0.48304589153964794
2,13,3.2,0.4216370213557839
2,14,4.5,0.8498365855987975
2,15,1.8,1.9888578520235065
2,16,4.9,0.31622776601683794
2,17,4.9,0.31622776601683794
2,18,4.9,0.31622776601683794
2,19,5.0,0.0
2,20,4.0,1.0540925533894598
2,21,5.0,0.0
2,22,5.0,0.0
2,23,5.0,0.0
2,24,3.2,0.6324555320336759
2,25,1.0,1.632993161855452
2,26,5.0,0.0
2,27,3.1,0.31622776601683794
2,28,3.0,0.0
2,29,4.9,0.31622776601683794
2,30,4.4,0.8432740427115678
3,1,4.1,0.7378647873726218
3,2,4.7,0.48304589153964794
3,3,3.2,0.7888106377466155
3,4,2.6,1.1737877907772674
3,5,0.0,0.0
3,6,4.0,0.4714045207910317
3,7,4.1,0.31622776601683794
3,8,3.1,1.66332999331662
3,9,3.6,0.6992058987801011
3,10,0.0,0.0
3,11,4.0,0.6666666666666666
3,12,4.8,0.6324555320336759
3,13,3.0,1.1547005383792515
3,14,3.4,1.429840705968481
3,15,3.2,2.250925735484551
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,5.0,0.0
3,20,2.1,2.3309511649396115
3,21,5.0,0.0
3,22,4.5,0.8498365855987975
3,23,5.0,0.0
3,24,5.0,0.0
3,25,0.0,0.0
3,26,5.0,0.0
3,27,3.9,1.66332999331662
3,28,3.5,1.5811388300841898
3,29,5.0,0.0
3,30,4.6,0.8432740427115678
4,1,4.2,1.0327955589886446
4,2,4.3,0.48304589153964794
4,3,3.1,0.8755950357709131
4,4,3.8,0.9189365834726815
4,5,2.0,0.816496580927726
4,6,3.9,0.31622776601683794
4,7,4.4,0.5163977794943222
4,8,4.4,0.5163977794943222
4,9,4.6,0.5163977794943222
4,10,1.8,1.0327955589886444
4,11,4.5,0.7071067811865476
4,12,3.9,0.5676462121975467
4,13,4.3,0.6749485577105528
