persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,3,0,3,2026-07-30T14:01:14.609096
0,1,2,3,0,3,2026-07-30T14:01:20.223029
0,1,3,3,0,3,2026-07-30T14:01:21.672099
0,1,4,3,0,3,2026-07-30T14:01:22.919950
0,1,5,3,0,3,2026-07-30T14:01:37.019689
0,1,6,3,0,3,2026-07-30T14:01:38.928759
0,1,7,3,0,3,2026-07-30T14:01:53.178158
0,1,8,3,0,3,2026-07-30T14:01:55.437052
0,1,9,3,0,3,2026-07-30T14:01:57.330729
0,1,10,3,0,3,2026-07-30T14:01:59.374560
0,2,1,5,0,5,2026-07-30T14:02:06.767369
0,2,2,5,0,5,2026-07-30T14:02:08.631547
0,2,3,5,0,5,2026-07-30T14:02:18.628428
0,2,4,5,0,5,2026-07-30T14:02:20.693844
0,2,5,5,0,5,2026-07-30T14:02:23.954667
0,2,6,5,0,5,2026-07-30T14:02:25.588626
0,2,7,5,0,5,2026-07-30T14:02:27.659086
0,2,8,5,0,5,2026-07-30T14:02:29.939734
0,2,9,5,0,5,2026-07-30T14:02:31.866949
0,2,10,5,0,5,2026-07-30T14:02:33.684994
0,3,1,5,0,5,2026-07-30T14:02:35.355702
0,3,2,3,0,3,2026-07-30T14:02:45.209842
0,3,3,5,0,5,2026-07-30T14:03:09.904325
0,3,4,5,0,5,2026-07-30T14:03:17.901625
0,3,5,3,0,3,2026-07-30T14:03:42.464678
0,3,6,5,0,5,2026-07-30T14:03:48.579778
0,3,7,5,0,5,2026-07-30T14:03:50.666338
0,3,8,3,0,3,2026-07-30T14:03:57.404839
0,3,9,5,0,5,2026-07-30T14:03:58.819970
0,3,10,5,0,5,2026-07-30T14:04:00.656730
0,4,1,1,0,1,2026-07-30T14:04:02.096811
0,4,2,3,0,3,2026-07-30T14:04:03.322048
0,4,3,3,0,3,2026-07-30T14:04:05.177470
0,4,4,3,0,3,2026-07-30T14:04:07.225400
0,4,5,5,0,5,2026-07-30T14:04:09.075914
0,4,6,5,0,5,2026-07-30T14:04:10.318101
0,4,7,5,0,5,2026-07-30T14:04:11.947835
0,4,8,3,0,3,2026-07-30T14:04:13.614053
0,4,9,3,0,3,2026-07-30T14:04:21.010337
0,4,10,3,0,3,2026-07-30T14:04:23.045171
0,5,1,0,0,0,2026-07-30T14:04:24.274000
0,5,2,0,0,0,2026-07-30T14:04:26.340429
0,5,3,0,0,0,2026-07-30T14:04:40.380709
0,5,4,0,0,0,2026-07-30T14:04:54.503776
0,5,5,0,0,0,2026-07-30T14:05:09.925922
0,5,6,0,0,0,2026-07-30T14:05:11.779228
0,5,7,0,0,0,2026-07-30T14:05:25.995522
0,5,8,0,0,0,2026-07-30T14:05:32.768526
0,5,9,0,0,0,2026-07-30T14:05:34.006355
0,5,10,0,0,0,2026-07-30T14:05:42.075717
0,6,1,3,0,3,2026-07-30T14:05:43.956357
0,6,2,5,0,5,2026-07-30T14:05:45.825603
0,6,3,5,0,5,2026-07-30T14:05:47.072206
0,6,4,5,0,5,2026-07-30T14:05:48.955736
0,6,5,5,0,5,2026-07-30T14:05:50.605903
0,6,6,3,0,3,2026-07-30T14:05:52.673997
0,6,7,3,0,3,2026-07-30T14:05:54.958144
0,6,8,3,0,3,2026-07-30T14:05:56.608208
0,6,9,5,0,5,2026-07-30T14:05:58.053565
0,6,10,3,0,3,2026-07-30T14:05:59.506630
0,7,1,3,0,3,2026-07-30T14:06:00.974933
0,7,2,3,0,3,2026-07-30T14:06:02.444105
0,7,3,3,0,3,2026-07-30T14:06:04.923204
0,7,4,3,0,3,2026-07-30T14:06:06.783502
0,7,5,3,0,3,2026-07-30T14:06:08.451335
