table_id,run_index,target_persona,correct_id,rating,correct,failures,response,table_json,collected_at
0,1,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:48.501428
0,2,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:50.040275
0,3,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:51.554385
0,4,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:53.244752
0,5,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:54.349643
0,6,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:55.152404
0,7,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:55.744220
0,8,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:56.716602
0,9,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:57:01.698072
0,10,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:57:03.289911
1,1,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:04.146846
1,2,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:05.289393
1,3,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:06.114942
1,4,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:07.409976
1,5,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:08.803350
1,6,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:11.581909
