persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,3,0,3,2026-06-15T16:08:16.815440
0,1,2,4,0,4,2026-06-15T16:08:18.437447
0,1,3,3,0,3,2026-06-15T16:08:19.456700
0,1,4,4,0,4,2026-06-15T16:08:20.678161
0,1,5,3,0,3,2026-06-15T16:08:22.516625
0,1,6,2,0,2,2026-06-15T16:08:23.937681
0,1,7,3,0,3,2026-06-15T16:08:25.770070
0,1,8,4,0,4,2026-06-15T16:08:27.588453
0,1,9,3,0,3,2026-06-15T16:08:28.793668
0,1,10,2,0,2,2026-06-15T16:08:30.798202
0,2,1,5,0,5,2026-06-15T16:08:32.810714
0,2,2,5,0,5,2026-06-15T16:08:34.228034
0,2,3,5,0,5,2026-06-15T16:08:35.843324
0,2,4,5,0,5,2026-06-15T16:08:37.061149
0,2,5,4,0,4,2026-06-15T16:08:38.472198
0,2,6,5,0,5,2026-06-15T16:08:39.499990
0,2,7,5,0,5,2026-06-15T16:08:40.754973
0,2,8,5,0,5,2026-06-15T16:08:44.261249
0,2,9,5,0,5,2026-06-15T16:08:45.264021
0,2,10,5,0,5,2026-06-15T16:08:46.474118
0,3,1,0,0,0,2026-06-15T16:08:47.482181
0,3,2,0,0,0,2026-06-15T16:08:49.312205
0,3,3,0,0,0,2026-06-15T16:08:50.741041
0,3,4,0,0,0,2026-06-15T16:08:52.181021
0,3,5,0,0,0,2026-06-15T16:08:53.592418
0,3,6,2,0,2,2026-06-15T16:08:54.600411
0,3,7,0,0,0,2026-06-15T16:08:55.813792
0,3,8,0,0,0,2026-06-15T16:08:57.345564
0,3,9,0,0,0,2026-06-15T16:08:58.547520
0,3,10,0,0,0,2026-06-15T16:09:00.168180
0,4,1,0,0,0,2026-06-15T16:09:01.374947
0,4,2,0,0,0,2026-06-15T16:09:02.381879
0,4,3,0,0,0,2026-06-15T16:09:05.867372
0,4,4,0,0,0,2026-06-15T16:09:07.487381
0,4,5,0,0,0,2026-06-15T16:09:08.699693
0,4,6,0,0,0,2026-06-15T16:09:09.918945
0,4,7,0,0,0,2026-06-15T16:09:11.330491
0,4,8,0,0,0,2026-06-15T16:09:12.346115
0,4,9,0,0,0,2026-06-15T16:09:13.553887
0,4,10,0,0,0,2026-06-15T16:09:14.763432
0,5,1,0,0,0,2026-06-15T16:09:16.550777
0,5,2,0,0,0,2026-06-15T16:09:17.357086
0,5,3,0,0,0,2026-06-15T16:09:18.575942
0,5,4,0,0,0,2026-06-15T16:09:20.396104
0,5,5,0,0,0,2026-06-15T16:09:22.209516
0,5,6,0,0,0,2026-06-15T16:09:24.025277
0,5,7,0,0,0,2026-06-15T16:09:25.269101
0,5,8,0,0,0,2026-06-15T16:09:26.690593
0,5,9,0,0,0,2026-06-15T16:09:28.108089
0,5,10,0,0,0,2026-06-15T16:09:29.713237
0,6,1,2,0,2,2026-06-15T16:09:31.338719
0,6,2,3,0,3,2026-06-15T16:09:32.943403
0,6,3,2,0,2,2026-06-15T16:09:34.366326
0,6,4,2,0,2,2026-06-15T16:09:35.588726
0,6,5,2,0,2,2026-06-15T16:09:36.843463
0,6,6,2,0,2,2026-06-15T16:09:38.247953
0,6,7,3,0,3,2026-06-15T16:09:39.871588
0,6,8,2,0,2,2026-06-15T16:09:41.690674
0,6,9,2,0,2,2026-06-15T16:09:42.915988
0,6,10,2,0,2,2026-06-15T16:09:44.123343
0,7,1,5,0,5,2026-06-15T16:09:45.345872
0,7,2,5,0,5,2026-06-15T16:09:46.362466
0,7,3,4,0,4,2026-06-15T16:09:48.178857
0,7,4,4,0,4,2026-06-15T16:09:49.206850
0,7,5,5,0,5,2026-06-15T16:09:50.222364
0,7,6,5,0,5,2026-06-15T16:09:51.828825
0,7,7,5,0,5,2026-06-15T16:09:53.460929
0,7,8,5,0,5,2026-06-15T16:09:54.460572
0,7,9,5,0,5,2026-06-15T16:09:55.474074
0,7,10,5,0,5,2026-06-15T16:09:56.487654
0,8,1,3,0,3,2026-06-15T16:09:57.877159
0,8,2,3,0,3,2026-06-15T16:09:58.899485
0,8,3,3,0,3,2026-06-15T16:10:00.717244
0,8,4,3,0,3,2026-06-15T16:10:02.750524
0,8,5,3,0,3,2026-06-15T16:10:03.768053
0,8,6,2,0,2,2026-06-15T16:10:08.345904
0,8,7,2,0,2,2026-06-15T16:10:09.964684
0,8,8,2,0,2,2026-06-15T16:10:10.972098
0,8,9,4,0,4,2026-06-15T16:10:12.000860
0,8,10,3,0,3,2026-06-15T16:10:13.618785
0,9,1,0,0,0,2026-06-15T16:10:15.470239
0,9,2,0,0,0,2026-06-15T16:10:17.310884
0,9,3,0,0,0,2026-06-15T16:10:18.721692
0,9,4,0,0,0,2026-06-15T16:10:20.544217
0,9,5,0,0,0,2026-06-15T16:10:21.751682
0,9,6,1,0,1,2026-06-15T16:10:23.163650
0,9,7,0,0,0,2026-06-15T16:10:25.201391
0,9,8,0,0,0,2026-06-15T16:10:26.623844
0,9,9,0,0,0,2026-06-15T16:10:28.453004
0,9,10,0,0,0,2026-06-15T16:10:30.313757
0,10,1,0,0,0,2026-06-15T16:10:31.330153
0,10,2,0,0,0,2026-06-15T16:10:32.335053
0,10,3,0,0,0,2026-06-15T16:10:34.153587
0,10,4,0,0,0,2026-06-15T16:10:35.996418
0,10,5,0,0,0,2026-06-15T16:10:37.224023
0,10,6,0,0,0,2026-06-15T16:10:39.068259
0,10,7,0,0,0,2026-06-15T16:10:40.905226
0,10,8,0,0,0,2026-06-15T16:10:42.738120
0,10,9,0,0,0,2026-06-15T16:10:43.951462
0,10,10,0,0,0,2026-06-15T16:10:45.182768
0,11,1,2,0,2,2026-06-15T16:10:46.600954
0,11,2,2,0,2,2026-06-15T16:10:48.233697
0,11,3,2,0,2,2026-06-15T16:10:49.062653
0,11,4,2,0,2,2026-06-15T16:10:50.481236
0,11,5,3,0,3,2026-06-15T16:10:52.711398
0,11,6,2,0,2,2026-06-15T16:10:53.744584
0,11,7,2,0,2,2026-06-15T16:10:55.559084
0,11,8,2,0,2,2026-06-15T16:10:57.166080
0,11,9,2,0,2,2026-06-15T16:10:59.382112
0,11,10,2,0,2,2026-06-15T16:11:00.809615
0,12,1,5,0,5,2026-06-15T16:11:01.980644
0,12,2,5,0,5,2026-06-15T16:11:03.388593
0,12,3,5,0,5,2026-06-15T16:11:05.218911
0,12,4,5,0,5,2026-06-15T16:11:06.835458
0,12,5,5,0,5,2026-06-15T16:11:08.789012
0,12,6,5,0,5,2026-06-15T16:11:10.025380
0,12,7,5,0,5,2026-06-15T16:11:11.248117
0,12,8,5,0,5,2026-06-15T16:11:12.268565
0,12,9,5,0,5,2026-06-15T16:11:13.791652
0,12,10,5,0,5,2026-06-15T16:11:15.202520
0,13,1,1,0,1,2026-06-15T16:11:16.428408
0,13,2,2,0,2,2026-06-15T16:11:17.777442
0,13,3,0,0,0,2026-06-15T16:11:19.358097
